Document page number,Elevation,Page Number,Subclass Description,Height,Width,Depth,Stevens Model Number,Times Referenced,x0,y0,x1,y1,Rooms
1,01,A6.0,Standalone Countertop,,,,,0,384.0,285.0,510.0,288.0,
1,01,A6.0,base cabinet - door,,,,10121,0,448.0,287.0,457.0,315.0,
1,01,A6.0,Countertop with a backsplash,,,,,0,1684.0,284.0,1728.0,288.0,
1,03,A6.0,base cabinet - ADA Sink,,,,111,0,430.0,654.0,484.0,716.0,
1,03,A6.0,Countertop with a backsplash,,,,,0,431.0,671.0,586.0,681.0,
1,03,A6.0,wall cabinet - closed door,,,,"15129, 15181, 16129, 17129, 45129, 45181",0,433.0,584.0,484.0,631.0,
1,03,A6.0,base cabinet - drawer/door,,,,"10495, 10432, 10441",0,483.0,680.0,534.0,729.0,
1,03,A6.0,wall cabinet - closed door,,,,"15129, 15181, 16129, 17129, 45129, 45181",0,483.0,584.0,534.0,631.0,
1,03,A6.0,base cabinet - drawer/door,,,,"10495, 10432, 10441",0,533.0,679.0,583.0,729.0,
1,03,A6.0,wall cabinet - closed door,,,,"15129, 15181, 16129, 17129, 45129, 45181",0,533.0,584.0,584.0,631.0,
1,04,A6.0,base cabinet - ADA Sink,,,,111,0,1039.0,654.0,1094.0,717.0,
1,04,A6.0,Countertop with a backsplash,,,,,0,1040.0,671.0,1196.0,681.0,
1,04,A6.0,wall cabinet - closed door,,,,"15129, 15181, 16129, 17129, 45129, 45181",0,1043.0,584.0,1094.0,631.0,
1,04,A6.0,base cabinet - drawer/door,,,,"10495, 10432, 10441",0,1093.0,680.0,1143.0,729.0,
1,04,A6.0,wall cabinet - closed door,,,,"15129, 15181, 16129, 17129, 45129, 45181",0,1093.0,584.0,1143.0,631.0,
1,04,A6.0,base cabinet - drawer/door,,,,"10495, 10432, 10441",0,1142.0,680.0,1193.0,729.0,
1,04,A6.0,wall cabinet - closed door,,,,"15129, 15181, 16129, 17129, 45129, 45181",0,1142.0,584.0,1193.0,631.0,
1,05,A6.0,Countertop with a backsplash,,,,,0,1709.0,671.0,1866.0,681.0,
1,05,A6.0,base cabinet - drawer/door,,,,"10495, 10432, 10441",0,1712.0,679.0,1763.0,729.0,
1,05,A6.0,wall cabinet - closed door,,,,"15129, 15181, 16129, 17129, 45129, 45181",0,1712.0,584.0,1763.0,631.0,
1,05,A6.0,base cabinet - drawer/door,,,,"10495, 10432, 10441",0,1762.0,679.0,1812.0,729.0,
1,05,A6.0,wall cabinet - closed door,,,,"15129, 15181, 16129, 17129, 45129, 45181",0,1762.0,584.0,1812.0,631.0,
1,05,A6.0,wall cabinet - closed door,,,,"15129, 15181, 16129, 17129, 45129, 45181",0,1811.0,584.0,1862.0,631.0,
1,05,A6.0,base cabinet - ADA Sink,,,,111,0,1811.0,655.0,1866.0,716.0,
1,06,A6.0,base cabinet - ADA Sink,,,,111,0,2348.0,655.0,2402.0,716.0,
1,06,A6.0,Countertop with a backsplash,,,,,0,2349.0,671.0,2504.0,681.0,
1,06,A6.0,wall cabinet - closed door,,,,"15129, 15181, 16129, 17129, 45129, 45181",0,2352.0,584.0,2402.0,631.0,
